username,is_bot,account_type
sim_user_0001,0,human
sim_user_0002,0,human
sim_user_0003,0,human
sim_user_0004,0,human
sim_user_0005,0,human
sim_user_0006,0,human
sim_user_0007,0,human
sim_user_0008,0,human
sim_user_0009,0,human
sim_user_0010,0,human
sim_user_0011,0,human
sim_user_0012,0,human
sim_user_0013,0,human
sim_user_0014,0,human
sim_user_0015,0,human
sim_user_0016,0,human
sim_user_0017,0,human
sim_user_0018,0,human
sim_user_0019,0,human
sim_user_0020,0,human
sim_user_0021,0,human
sim_user_0022,0,human
sim_user_0023,0,human
sim_user_0024,0,human
sim_user_0025,0,human
sim_user_0026,0,human
sim_user_0027,0,human
sim_user_0028,0,human
sim_user_0029,0,human
sim_user_0030,0,human
sim_user_0031,0,human
sim_user_0032,0,human
sim_user_0033,0,human
sim_user_0034,0,human
sim_user_0035,0,human
sim_user_0036,0,human
sim_user_0037,0,human
sim_user_0038,0,human
sim_user_0039,0,human
sim_user_0040,0,human
sim_user_0041,0,human
sim_user_0042,0,human
sim_user_0043,0,human
sim_user_0044,0,human
sim_user_0045,0,human
sim_user_0046,0,human
sim_user_0047,0,human
sim_user_0048,0,human
sim_user_0049,0,human
sim_user_0050,0,human
sim_user_0051,0,human
sim_user_0052,0,human
sim_user_0053,0,human
sim_user_0054,0,human
sim_user_0055,0,human
sim_user_0056,0,human
sim_user_0057,0,human
sim_user_0058,0,human
sim_user_0059,0,human
sim_user_0060,0,human
sim_user_0061,0,human
sim_user_0062,0,human
sim_user_0063,0,human
sim_user_0064,0,human
sim_user_0065,0,human
sim_user_0066,0,human
sim_user_0067,0,human
sim_user_0068,0,human
sim_user_0069,0,human
sim_user_0070,0,human
sim_user_0071,0,human
sim_user_0072,0,human
sim_user_0073,0,human
sim_user_0074,0,human
sim_user_0075,0,human
sim_user_0076,0,human
sim_user_0077,0,human
sim_user_0078,0,human
sim_user_0079,0,human
sim_user_0080,0,human
sim_user_0081,0,human
sim_user_0082,0,human
sim_user_0083,0,human
sim_user_0084,0,human
sim_user_0085,0,human
sim_user_0086,0,human
sim_user_0087,0,human
sim_user_0088,0,human
sim_user_0089,0,human
sim_user_0090,0,human
sim_user_0091,0,human
sim_user_0092,0,human
sim_user_0093,0,human
sim_user_0094,0,human
sim_user_0095,0,human
sim_user_0096,0,human
sim_user_0097,0,human
sim_user_0098,0,human
sim_user_0099,0,human
sim_user_0100,0,human
sim_user_0101,0,human
sim_user_0102,0,human
sim_user_0103,0,human
sim_user_0104,0,human
sim_user_0105,0,human
sim_user_0106,0,human
sim_user_0107,0,human
sim_user_0108,0,human
sim_user_0109,0,human
sim_user_0110,0,human
sim_user_0111,0,human
sim_user_0112,0,human
sim_user_0113,0,human
sim_user_0114,0,human
sim_user_0115,0,human
sim_user_0116,0,human
sim_user_0117,0,human
sim_user_0118,0,human
sim_user_0119,0,human
sim_user_0120,0,human
sim_user_0121,0,human
sim_user_0122,0,human
sim_user_0123,0,human
sim_user_0124,0,human
sim_user_0125,0,human
sim_user_0126,0,human
sim_user_0127,0,human
sim_user_0128,0,human
sim_user_0129,0,human
sim_user_0130,0,human
sim_user_0131,0,human
sim_user_0132,0,human
sim_user_0133,0,human
sim_user_0134,0,human
sim_user_0135,0,human
sim_user_0136,0,human
sim_user_0137,0,human
sim_user_0138,0,human
sim_user_0139,0,human
sim_user_0140,0,human
sim_user_0141,0,human
sim_user_0142,0,human
sim_user_0143,0,human
sim_user_0144,0,human
sim_user_0145,0,human
sim_user_0146,0,human
sim_user_0147,0,human
sim_user_0148,0,human
sim_user_0149,0,human
sim_user_0150,0,human
sim_user_0151,0,human
sim_user_0152,0,human
sim_user_0153,0,human
sim_user_0154,0,human
sim_user_0155,0,human
sim_user_0156,0,human
sim_user_0157,0,human
sim_user_0158,0,human
sim_user_0159,0,human
sim_user_0160,0,human
sim_user_0161,0,human
sim_user_0162,0,human
sim_user_0163,0,human
sim_user_0164,0,human
sim_user_0165,0,human
sim_user_0166,0,human
sim_user_0167,0,human
sim_user_0168,0,human
sim_user_0169,0,human
sim_user_0170,0,human
sim_user_0171,0,human
sim_user_0172,0,human
sim_user_0173,0,human
sim_user_0174,0,human
sim_user_0175,0,human
sim_user_0176,0,human
sim_user_0177,0,human
sim_user_0178,0,human
sim_user_0179,0,human
sim_user_0180,0,human
sim_user_0181,0,human
sim_user_0182,0,human
sim_user_0183,0,human
sim_user_0184,0,human
sim_user_0185,0,human
sim_user_0186,0,human
sim_user_0187,0,human
sim_user_0188,0,human
sim_user_0189,0,human
sim_user_0190,0,human
sim_user_0191,0,human
sim_user_0192,0,human
sim_user_0193,0,human
sim_user_0194,0,human
sim_user_0195,0,human
sim_user_0196,0,human
sim_user_0197,0,human
sim_user_0198,0,human
sim_user_0199,0,human
sim_user_0200,0,human
sim_user_0201,0,human
sim_user_0202,0,human
sim_user_0203,0,human
sim_user_0204,0,human
sim_user_0205,0,human
