user_id,username,display_name,account_age_days,followers_count,following_count,follow_ratio,posts_count,comments_count,unique_posts_commented,posts_per_day,comments_per_day,comments_per_post,duplicate_comment_rate,cross_post_comment_rate,max_comments_in_one_hour,is_bot,account_type
8e3512bf-ac57-4e4c-a37c-eebbbe9a4bfd,user_0001,User 0001,316.49,6,0,0.0,3,2,2,0.0095,0.0063,0.6667,0.0,0.0,1,,
19054397-bbca-4090-b394-376921193c2a,user_0002,User 0002,220.39,5,3,0.6,0,4,4,0.0,0.0181,4.0,0.0,0.0,1,,
6d40150a-960d-400c-b719-73a68dd50b56,user_0003,User 0003,978.66,3,2,0.6667,2,1,1,0.002,0.001,0.5,0.0,0.0,1,,
c8fb7761-7fc8-41be-8887-f2fb71da30bf,user_0004,User 0004,621.34,1,3,3.0,2,3,3,0.0032,0.0048,1.5,0.3333,0.6667,1,,
aa5583f4-785f-4e74-b89c-990fd370bb33,user_0005,User 0005,27.77,1,2,2.0,1,2,2,0.036,0.072,2.0,0.0,0.0,1,,
3efce6b3-af3b-418a-958e-4727587e433c,user_0006,User 0006,989.44,0,2,2.0,2,1,1,0.002,0.001,0.5,0.0,0.0,1,,
e805e4cc-7837-4f8e-b3db-f69c4ed9c65a,user_0007,User 0007,680.79,1,5,5.0,1,3,3,0.0015,0.0044,3.0,0.0,0.0,1,,
f8ca1c24-6d4e-4fb4-afa5-c048075aaa0f,user_0008,User 0008,447.65,4,6,1.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,
05babf5f-88bd-4a61-9530-ee2dc9a3c5d8,user_0009,User 0009,741.04,1,2,2.0,2,3,3,0.0027,0.004,1.5,0.3333,0.6667,1,,
9d0acd47-8ff4-411a-b819-d7e305132a28,user_0010,User 0010,610.91,4,4,1.0,3,6,6,0.0049,0.0098,2.0,0.3333,0.5,1,,
9f338ba7-22ca-410e-a10f-122d4c0c9332,user_0011,User 0011,269.02,3,3,1.0,2,1,1,0.0074,0.0037,0.5,0.0,0.0,1,,
80951200-1cb3-4ec5-8028-98cffa55403c,user_0012,User 0012,402.45,4,5,1.25,2,3,3,0.005,0.0075,1.5,0.0,0.0,1,,
1353756d-51e7-4ce1-97bf-fb2860a3902e,user_0013,User 0013,266.35,4,4,1.0,1,6,6,0.0038,0.0225,6.0,0.0,0.0,1,,
6e4aea80-06c6-4dec-9a9b-e61be79bcd8d,user_0014,User 0014,979.56,3,3,1.0,1,2,2,0.001,0.002,2.0,0.0,0.0,1,,
8879b133-428a-4de1-a3c8-fd29e126a1a7,user_0015,User 0015,222.06,2,2,1.0,1,3,3,0.0045,0.0135,3.0,0.0,0.0,1,,
81009754-e932-4515-a19e-b4755a1856ce,user_0016,User 0016,197.47,4,0,0.0,1,3,3,0.0051,0.0152,3.0,0.0,0.0,1,,
f2a373b2-b5e0-4472-879c-31597c640c80,user_0017,User 0017,496.14,1,1,1.0,0,4,4,0.0,0.0081,4.0,0.0,0.0,1,,
19f5f781-86e8-4eda-909e-16db7710bb06,user_0018,User 0018,549.75,2,2,1.0,0,2,2,0.0,0.0036,2.0,0.0,0.0,1,,
03faddcc-6747-4a6e-a405-9b89d4b1ed42,user_0019,User 0019,394.61,3,2,0.6667,4,1,1,0.0101,0.0025,0.25,0.0,0.0,1,,
fe8dbf2b-1f20-4bbc-992a-6908d5670e88,user_0020,User 0020,470.73,2,1,0.5,2,1,1,0.0042,0.0021,0.5,0.0,0.0,1,,
df177e63-0700-4b6a-ba55-25b9f62675fd,ayush.kumarshah.24,AKS,3.4,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,
cc0e82f4-64db-4699-88f2-e93fb5efc08f,ayush_test,Ayush,2.02,0,0,0.0,1,5,3,0.4951,2.4753,5.0,0.0,0.0,3,,
56600cf5-b0ee-492a-9a1b-fba0a9d81019,ayushkumar,AyushArtistic,2.02,0,0,0.0,1,2,1,0.496,0.992,2.0,0.0,0.0,2,,
a0d32f41-5df7-4056-87d5-439f2c479793,ayushkumarshah,Ayush Kumar Shah,1.89,0,2,2.0,2,2,2,1.0594,1.0594,1.0,0.0,0.0,1,,
c9cacd72-7c04-40fb-9f98-7aa31617301f,Saptarshi Mazumdar,Saptarshi ,1.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,
1012d99f-08eb-432f-9557-f19ed7a340b8,Red,Essex,1.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,
c08af93a-4124-4bf2-b66f-2731a1df0246,sim_user_0001,Simulated User 0001,354.02,17,13,0.7647,7,5,5,0.0198,0.0141,0.7143,0.2,0.4,1,0.0,human
023fbc65-52dd-4b69-8f99-dee5b154f57d,sim_user_0002,Simulated User 0002,1138.02,9,15,1.6667,7,10,10,0.0062,0.0088,1.4286,0.3,0.6,1,0.0,human
68fd2ce1-052f-4c66-abad-061ad9268443,sim_user_0003,Simulated User 0003,621.02,16,11,0.6875,0,2,2,0.0,0.0032,2.0,0.0,0.0,1,0.0,human
69921198-563f-490d-b1e2-355b7f6dbdb0,sim_user_0004,Simulated User 0004,399.02,11,11,1.0,4,8,8,0.01,0.02,2.0,0.0,0.0,1,0.0,human
226c20db-16b6-46a7-9f43-f70a02d65253,sim_user_0005,Simulated User 0005,962.02,20,7,0.35,4,9,9,0.0042,0.0094,2.25,0.0,0.0,1,0.0,human
afdf42ef-2671-448f-b145-c3cf2b5b24d3,sim_user_0006,Simulated User 0006,505.02,16,13,0.8125,3,13,13,0.0059,0.0257,4.3333,0.0769,0.1538,1,0.0,human
fbee57c6-df02-41ac-ad01-7996434ab3f1,sim_user_0007,Simulated User 0007,632.02,18,14,0.7778,8,0,0,0.0127,0.0,0.0,0.0,0.0,0,0.0,human
0c06a37b-e575-4591-8e78-b1dec62ef084,sim_user_0008,Simulated User 0008,1129.02,8,12,1.5,3,8,8,0.0027,0.0071,2.6667,0.125,0.25,1,0.0,human
bf0b634b-0de7-49e3-afa0-aa83f00d2b02,sim_user_0009,Simulated User 0009,878.02,19,10,0.5263,3,3,3,0.0034,0.0034,1.0,0.0,0.0,1,0.0,human
065f5620-bd7f-4145-8d34-93c8060a6520,sim_user_0010,Simulated User 0010,295.02,17,4,0.2353,6,1,1,0.0203,0.0034,0.1667,0.0,0.0,1,0.0,human
564cbf51-4a32-442e-becb-63b1a10ad413,sim_user_0011,Simulated User 0011,239.02,7,7,1.0,0,13,13,0.0,0.0544,13.0,0.1538,0.3077,1,0.0,human
5429dcb0-90a5-442c-84a1-4125fa08fac4,sim_user_0012,Simulated User 0012,463.02,27,14,0.5185,1,11,11,0.0022,0.0238,11.0,0.0909,0.1818,1,0.0,human
ebef7184-590e-4acd-907a-af643e84ee63,sim_user_0013,Simulated User 0013,917.02,19,15,0.7895,0,7,7,0.0,0.0076,7.0,0.0,0.0,1,0.0,human
0ec1bb67-4879-49fd-8cd3-e441e2e290c3,sim_user_0014,Simulated User 0014,793.02,22,11,0.5,3,14,14,0.0038,0.0177,4.6667,0.1429,0.2143,1,0.0,human
1a0d50a0-d80e-467b-83db-6e9fad2f1638,sim_user_0015,Simulated User 0015,1210.02,15,3,0.2,4,0,0,0.0033,0.0,0.0,0.0,0.0,0,0.0,human
55cf1045-ad3e-4adb-93a8-5aebb3c65744,sim_user_0016,Simulated User 0016,1419.02,15,12,0.8,4,1,1,0.0028,0.0007,0.25,0.0,0.0,1,0.0,human
ec100c24-f2da-4af2-8df2-1f8c02c8b0aa,sim_user_0017,Simulated User 0017,1365.02,13,7,0.5385,7,9,9,0.0051,0.0066,1.2857,0.1111,0.2222,1,0.0,human
eb0d1dab-64e7-4b4f-931a-d26f885b64ba,sim_user_0018,Simulated User 0018,947.02,21,5,0.2381,1,0,0,0.0011,0.0,0.0,0.0,0.0,0,0.0,human
5b28a720-1999-407f-a713-42d33790cff2,sim_user_0019,Simulated User 0019,1489.02,15,15,1.0,6,8,8,0.004,0.0054,1.3333,0.0,0.0,1,0.0,human
1aee8d1f-5781-4fe1-b5e9-ec0809671d90,sim_user_0020,Simulated User 0020,1227.02,20,8,0.4,8,10,10,0.0065,0.0081,1.25,0.0,0.0,1,0.0,human
